rank,feature_name,importance
1,right_shoulder_max_y,0.024329220974548194
2,left_shoulder_max_y,0.02192137924536928
3,right_knee_min_x,0.02106599470524314
4,right_hip_min_x,0.01970245379261917
5,right_shoulder_min_y,0.017978554837586945
6,right_hip_min_y,0.01784485188165202
7,left_hip_min_x,0.01770635457492901
8,left_elbow_min_y,0.017461982731212907
9,left_shoulder_min_y,0.01699107097354689
10,left_knee_min_x,0.016471724868539844
11,left_wrist_min_y,0.01633630818604373
12,right_knee_max_x,0.015741889488551073
13,left_ankle_min_x,0.01522045362416818
14,left_hip_min_y,0.014745214061112432
15,right_hip_max_x,0.0145220276759162
16,left_elbow_max_y,0.014387879717276831
17,left_hip_max_x,0.013860474025631786
18,right_ankle_min_x,0.01382147288150736
19,right_elbow_min_y,0.013305165978785788
20,right_elbow_max_y,0.013228570464259954
21,right_shoulder_min_x,0.0131548714464661
22,right_wrist_min_y,0.013100068182889179
23,right_elbow_min_x,0.013014694180860863
24,right_shoulder_max_x,0.012086042434297258
25,left_shoulder_max_speed,0.010912266048029405
26,right_wrist_min_x,0.010597832351423375
27,left_knee_max_y,0.010314311702543438
28,left_ankle_max_y,0.010054553516773949
29,right_ankle_max_y,0.009763811172990293
30,left_wrist_range_y,0.00969874930736595
31,right_wrist_max_x,0.009589000510892514
32,left_knee_max_x,0.009524914981834246
33,left_elbow_mean_speed,0.009513814423105543
34,left_ankle_max_speed,0.00945442192994722
35,right_wrist_max_y,0.009450984630001522
36,left_wrist_total_distance,0.009439287561668706
37,right_hip_max_y,0.009426753204847337
38,left_shoulder_max_x,0.00942219300445916
39,right_knee_min_y,0.009361795173498893
40,left_wrist_max_speed,0.009358626893689454
41,left_shoulder_min_x,0.009249966206643114
42,left_hip_max_y,0.009201663459272136
43,left_shoulder_range_y,0.008914479302954652
44,right_knee_max_y,0.008874883730862329
45,left_knee_max_speed,0.008808450371994457
46,right_ankle_max_x,0.008776502159868627
47,left_wrist_mean_speed,0.00877198650060451
48,left_ankle_max_x,0.008554938208007679
49,left_knee_range_y,0.00855078497344889
50,right_ankle_min_y,0.008145668926579717
51,left_elbow_min_x,0.00805345272746875
52,left_wrist_max_y,0.008008630342389689
53,left_elbow_max_speed,0.007725467300683572
54,left_ankle_mean_speed,0.00756070304178843
55,right_elbow_max_x,0.007403648445788423
56,left_wrist_min_x,0.007113404951469829
57,average_visibility_score_mean,0.0069092901900176815
58,duration_seconds,0.006842896404061637
59,left_shoulder_x_displacement,0.006713355430183287
60,left_wrist_max_x,0.006678548748001007
61,right_ankle_range_y,0.006518419493780305
62,left_elbow_max_x,0.006422312251969469
63,left_knee_min_y,0.006404216878742941
64,right_shoulder_max_speed,0.006394167273293773
65,right_shoulder_range_y,0.0061777565216920745
66,left_ankle_min_y,0.006147878837639331
67,left_ankle_total_distance,0.006068247304842119
68,left_elbow_total_distance,0.006037792801567357
69,left_knee_mean_speed,0.005650848809741617
70,right_wrist_range_y,0.00556914651476824
71,left_elbow_range_y,0.005501399743896364
72,right_knee_range_y,0.005414160393578213
73,right_shoulder_mean_speed,0.005385925896932151
74,right_elbow_range_y,0.005168764871267242
75,left_ankle_range_y,0.005036685282471089
76,right_shoulder_x_displacement,0.0049983210982412814
77,right_elbow_range_x,0.0048121739813891335
78,right_elbow_mean_speed,0.004736252578815933
79,right_shoulder_range_x,0.004705649889950609
80,right_hip_x_displacement,0.004603392548710945
